11036,6,6,123,25,359.81,-1.13,2.63,0.61,0.19,-0.41,0,3,0,0,253.98,258.26,267.38,242.56,256.32,265.02,253.66,245.14,253.26,250.98,248.00,262.99,253.18,244.47,242.94,256.49
11092,9,9,123,25,359.75,-1.25,2.31,1.85,0.41,0.00,0,3,0,0,253.89,257.19,266.77,242.03,257.24,264.54,253.31,244.56,253.04,250.51,247.90,262.61,253.26,243.95,243.80,255.69
11160,12,12,117,25,359.56,-1.50,1.94,1.75,0.27,0.34,0,3,0,0,252.85,256.69,266.79,245.17,256.08,264.77,253.38,243.27,252.75,250.27,248.01,261.98,253.52,244.81,243.92,255.72
11215,15,15,104,25,359.56,-1.75,1.94,-2.23,0.49,-0.87,0,3,0,0,254.20,255.01,266.81,246.01,257.31,264.22,253.91,243.62,253.25,250.15,248.20,261.79,254.71,245.40,244.78,256.03
11268,17,17,98,25,359.69,-1.63,2.00,-1.03,-0.21,-0.30,0,3,0,0,254.85,256.53,267.78,246.30,257.75,264.49,253.06,243.47,253.04,249.95,248.46,262.10,256.35,244.50,244.61,256.12
11324,19,19,95,25,359.81,-1.69,2.00,-0.73,0.01,2.86,0,3,0,0,255.53,258.00,270.37,249.51,258.25,264.25,253.53,244.56,252.94,250.24,248.71,262.57,257.75,246.36,245.98,257.35
11377,21,21,95,25,359.94,-1.63,2.00,-0.51,-0.70,4.13,0,3,0,0,256.43,258.86,271.29,252.12,258.80,263.85,253.39,244.70,253.52,250.79,249.59,262.80,258.44,247.56,248.27,258.55
11429,22,22,97,25,359.94,-1.50,1.50,-1.80,1.37,3.38,0,3,0,0,256.39,259.16,272.02,253.92,259.49,262.62,253.26,245.40,253.94,251.28,250.49,263.96,256.59,248.84,249.19,259.93
11493,23,23,91,25,0.19,-1.50,1.56,-2.06,-1.35,1.32,0,3,0,0,255.97,259.33,272.78,255.36,259.63,259.61,252.85,245.36,253.85,252.02,250.34,264.06,254.06,249.91,249.56,260.98
11547,25,24,92,25,0.19,-1.31,1.31,2.96,-0.36,-2.02,0,3,0,0,255.40,259.02,272.14,256.18,259.57,258.60,251.72,244.94,253.20,251.73,250.41,263.86,255.10,248.30,249.88,261.46
11606,27,26,90,25,0.19,-1.38,1.19,3.26,0.32,-2.74,0,3,0,0,254.60,258.63,272.60,255.97,258.37,257.40,249.94,243.43,252.51,251.66,250.27,263.11,255.18,248.84,250.47,261.80
11666,29,29,99,25,0.31,-1.44,1.13,1.73,0.39,1.27,0,3,0,0,254.16,258.00,272.26,256.16,257.67,257.27,249.28,241.67,251.99,250.74,250.34,262.63,255.45,248.66,250.33,261.91
11720,32,32,100,25,0.50,-1.19,1.75,0.30,0.32,-1.05,0,3,0,0,254.24,258.00,272.14,256.34,258.37,256.10,247.92,239.99,251.23,249.81,249.93,262.09,255.41,248.60,249.44,260.21
11773,35,35,92,25,0.69,-0.81,1.94,1.54,-1.52,1.34,0,3,0,0,254.03,257.53,271.65,256.31,258.14,254.95,247.45,238.66,251.30,248.50,249.27,260.75,255.27,247.69,247.97,259.33
11832,38,38,110,25,0.88,-0.50,1.88,-0.79,-3.44,6.71,0,3,0,0,253.93,257.76,271.40,256.18,258.42,254.38,246.93,238.50,251.18,248.16,249.15,260.11,255.06,246.29,246.83,258.54
11886,42,41,95,25,0.50,-0.50,0.75,2.18,4.47,3.15,0,3,0,0,253.27,258.26,271.83,256.74,258.57,253.97,246.46,237.98,251.73,247.20,249.99,259.72,255.24,246.83,246.37,258.01
11942,45,45,101,25,1.06,-1.00,1.81,0.00,-1.63,1.80,0,3,0,0,253.82,259.28,273.28,258.48,258.89,254.92,246.51,238.84,251.95,248.42,250.56,259.93,256.36,246.85,246.33,257.44
12003,49,49,113,25,1.13,-1.19,1.31,-0.41,0.18,-1.52,0,3,0,0,254.88,260.30,274.77,260.24,258.90,255.79,247.23,241.04,252.71,249.14,250.89,260.70,257.57,248.58,248.30,258.63
12058,53,52,93,25,1.31,-1.25,1.13,-0.90,1.10,-2.74,0,3,0,0,254.51,260.27,275.37,261.17,260.06,255.52,247.01,241.32,252.65,249.32,251.19,261.97,258.37,249.38,249.51,259.91
12113,57,56,89,25,1.63,-1.38,1.19,4.02,-0.53,3.63,0,3,0,0,254.18,260.82,275.14,261.25,258.62,254.80,246.63,240.91,252.97,248.81,250.98,262.64,258.62,248.49,250.03,260.87
12172,61,60,130,25,1.75,-1.56,0.56,-1.33,0.02,0.80,0,3,0,0,253.59,259.88,274.84,261.32,257.52,254.54,245.05,240.82,253.83,249.97,250.69,262.20,259.32,248.44,250.32,262.40
12227,65,64,93,25,2.00,-2.00,0.06,-0.03,0.02,-0.29,0,3,0,0,253.15,260.47,274.67,260.72,256.90,254.68,246.09,241.22,254.22,250.92,251.58,262.84,259.39,249.73,251.52,263.60
12281,69,68,104,25,2.38,-2.38,0.00,0.73,0.47,3.19,0,3,0,0,253.52,261.28,274.60,260.84,255.29,254.90,246.08,241.49,254.20,252.17,252.10,263.72,257.16,251.18,252.52,264.69
